counts,segment
31,NS
14,PB1
104,PB2
32,NA
39,M
15,PA
22,NP
42,HA
27,NS
17,PB1
87,PB2
24,NA
38,M
12,PA
32,NP
27,HA
29,NS
17,PB1
91,PB2
17,NA
42,M
12,PA
27,NP
39,HA
30,NS
12,PB1
82,PB2
20,NA
44,M
13,PA
47,NP
39,HA
26,NS
21,PB1
104,PB2
18,NA
38,M
12,PA
42,NP
45,HA
43,NS
17,PB1
92,PB2
19,NA
31,M
12,PA
33,NP
40,HA
25,NS
14,PB1
113,PB2
22,NA
31,M
22,PA
26,NP
40,HA
33,NS
23,PB1
96,PB2
21,NA
41,M
13,PA
36,NP
35,HA
35,NS
18,PB1
103,PB2
17,NA
33,M
15,PA
38,NP
32,HA
29,NS
20,PB1
104,PB2
22,NA
32,M
8,PA
27,NP
34,HA
26,NS
15,PB1
112,PB2
30,NA
40,M
18,PA
35,NP
37,HA
27,NS
18,PB1
105,PB2
22,NA
35,M
7,PA
24,NP
35,HA
25,NS
26,PB1
100,PB2
21,NA
37,M
16,PA
28,NP
43,HA
29,NS
17,PB1
108,PB2
14,NA
30,M
11,PA
25,NP
43,HA
38,NS
10,PB1
86,PB2
31,NA
39,M
21,PA
31,NP
36,HA
34,NS
20,PB1
103,PB2
15,NA
39,M
7,PA
30,NP
36,HA
24,NS
17,PB1
92,PB2
15,NA
35,M
9,PA
25,NP
40,HA
34,NS
14,PB1
100,PB2
17,NA
48,M
17,PA
31,NP
37,HA
41,NS
11,PB1
100,PB2
20,NA
38,M
16,PA
26,NP
35,HA
32,NS
16,PB1
104,PB2
17,NA
31,M
7,PA
23,NP
37,HA
41,NS
18,PB1
100,PB2
29,NA
53,M
9,PA
30,NP
30,HA
27,NS
15,PB1
93,PB2
22,NA
42,M
6,PA
28,NP
49,HA
36,NS
24,PB1
97,PB2
29,NA
37,M
16,PA
31,NP
36,HA
44,NS
16,PB1
99,PB2
22,NA
35,M
14,PA
42,NP
35,HA
36,NS
19,PB1
102,PB2
23,NA
37,M
15,PA
27,NP
30,HA
35,NS
17,PB1
102,PB2
19,NA
42,M
10,PA
32,NP
44,HA
23,NS
21,PB1
102,PB2
21,NA
42,M
15,PA
26,NP
31,HA
35,NS
18,PB1
102,PB2
20,NA
42,M
14,PA
32,NP
46,HA
28,NS
18,PB1
97,PB2
21,NA
47,M
9,PA
23,NP
47,HA
34,NS
13,PB1
97,PB2
23,NA
39,M
8,PA
20,NP
46,HA
27,NS
20,PB1
96,PB2
10,NA
31,M
12,PA
28,NP
36,HA
25,NS
24,PB1
114,PB2
23,NA
37,M
12,PA
24,NP
48,HA
35,NS
17,PB1
98,PB2
25,NA
49,M
14,PA
49,NP
39,HA
32,NS
19,PB1
98,PB2
18,NA
51,M
13,PA
34,NP
46,HA
26,NS
13,PB1
94,PB2
30,NA
39,M
18,PA
34,NP
32,HA
34,NS
19,PB1
99,PB2
18,NA
42,M
12,PA
30,NP
33,HA
25,NS
15,PB1
102,PB2
17,NA
38,M
12,PA
32,NP
44,HA
36,NS
19,PB1
109,PB2
26,NA
31,M
14,PA
26,NP
34,HA
35,NS
21,PB1
105,PB2
20,NA
32,M
10,PA
36,NP
34,HA
40,NS
17,PB1
115,PB2
14,NA
43,M
8,PA
32,NP
37,HA
28,NS
23,PB1
86,PB2
22,NA
48,M
11,PA
27,NP
36,HA
26,NS
12,PB1
95,PB2
19,NA
32,M
5,PA
13,NP
45,HA
27,NS
18,PB1
108,PB2
17,NA
35,M
6,PA
25,NP
33,HA
41,NS
21,PB1
119,PB2
23,NA
34,M
12,PA
32,NP
50,HA
30,NS
12,PB1
90,PB2
24,NA
34,M
15,PA
16,NP
34,HA
28,NS
13,PB1
96,PB2
29,NA
40,M
13,PA
27,NP
55,HA
31,NS
17,PB1
108,PB2
24,NA
38,M
11,PA
32,NP
35,HA
33,NS
23,PB1
111,PB2
17,NA
37,M
9,PA
24,NP
37,HA
34,NS
17,PB1
100,PB2
26,NA
36,M
12,PA
24,NP
37,HA
36,NS
14,PB1
128,PB2
22,NA
35,M
9,PA
43,NP
40,HA
21,NS
25,PB1
98,PB2
16,NA
26,M
15,PA
30,NP
51,HA
29,NS
15,PB1
89,PB2
15,NA
34,M
10,PA
26,NP
29,HA
39,NS
16,PB1
96,PB2
32,NA
33,M
15,PA
35,NP
43,HA
32,NS
16,PB1
92,PB2
25,NA
31,M
11,PA
30,NP
52,HA
31,NS
15,PB1
106,PB2
24,NA
29,M
18,PA
30,NP
32,HA
38,NS
22,PB1
121,PB2
25,NA
29,M
14,PA
30,NP
47,HA
31,NS
19,PB1
113,PB2
23,NA
43,M
6,PA
28,NP
48,HA
40,NS
22,PB1
95,PB2
19,NA
29,M
9,PA
26,NP
32,HA
35,NS
9,PB1
99,PB2
23,NA
42,M
17,PA
21,NP
47,HA
44,NS
22,PB1
98,PB2
20,NA
55,M
7,PA
41,NP
35,HA
30,NS
18,PB1
107,PB2
28,NA
28,M
16,PA
36,NP
33,HA
38,NS
23,PB1
102,PB2
18,NA
26,M
6,PA
22,NP
47,HA
32,NS
11,PB1
87,PB2
22,NA
19,M
4,PA
33,NP
42,HA
28,NS
10,PB1
106,PB2
23,NA
44,M
12,PA
32,NP
41,HA
33,NS
6,PB1
102,PB2
24,NA
34,M
9,PA
31,NP
25,HA
32,NS
21,PB1
112,PB2
16,NA
39,M
14,PA
30,NP
23,HA
39,NS
16,PB1
108,PB2
16,NA
41,M
12,PA
28,NP
44,HA
31,NS
14,PB1
98,PB2
19,NA
42,M
18,PA
22,NP
40,HA
