Segment,Start,End,NGS_read_count,ACC_num,Cells,Context,Compartment,Resolution
PB1,1519,1585,1,ERR3474616,human,in vivo,extracellular,bulk
PB1,296,1943,42,ERR3474616,human,in vivo,extracellular,bulk
PB1,370,1944,88,ERR3474616,human,in vivo,extracellular,bulk
PB1,391,1922,1,ERR3474616,human,in vivo,extracellular,bulk
PB1,462,1733,32,ERR3474616,human,in vivo,extracellular,bulk
PB1,591,1511,14,ERR3474616,human,in vivo,extracellular,bulk
PB1,592,1512,1,ERR3474616,human,in vivo,extracellular,bulk
PB1,593,1808,26,ERR3474616,human,in vivo,extracellular,bulk
PB1,597,1537,12,ERR3474616,human,in vivo,extracellular,bulk
PB1,627,1781,25,ERR3474616,human,in vivo,extracellular,bulk
PB1,638,1585,3,ERR3474616,human,in vivo,extracellular,bulk
PB1,710,1476,6,ERR3474616,human,in vivo,extracellular,bulk
PB1,728,1573,16,ERR3474616,human,in vivo,extracellular,bulk
PB1,737,1934,28,ERR3474616,human,in vivo,extracellular,bulk
PB1,747,1539,18,ERR3474616,human,in vivo,extracellular,bulk
PB1,793,1508,1,ERR3474616,human,in vivo,extracellular,bulk
PB1,794,1512,7,ERR3474616,human,in vivo,extracellular,bulk
PB1,839,1539,4,ERR3474616,human,in vivo,extracellular,bulk
PB1,840,1496,6,ERR3474616,human,in vivo,extracellular,bulk
PB1,919,1582,1,ERR3474616,human,in vivo,extracellular,bulk
PB1,956,1517,5,ERR3474616,human,in vivo,extracellular,bulk
PB2,1042,1465,11,ERR3474616,human,in vivo,extracellular,bulk
PB2,135,2144,60,ERR3474616,human,in vivo,extracellular,bulk
PB2,137,165,47,ERR3474616,human,in vivo,extracellular,bulk
PB2,141,1163,6,ERR3474616,human,in vivo,extracellular,bulk
PB2,142,2148,26,ERR3474616,human,in vivo,extracellular,bulk
PB2,146,2143,15,ERR3474616,human,in vivo,extracellular,bulk
PB2,146,254,16,ERR3474616,human,in vivo,extracellular,bulk
PB2,153,2144,31,ERR3474616,human,in vivo,extracellular,bulk
PB2,157,2145,3,ERR3474616,human,in vivo,extracellular,bulk
PB2,160,2207,1,ERR3474616,human,in vivo,extracellular,bulk
PB2,161,2181,3,ERR3474616,human,in vivo,extracellular,bulk
PB2,162,2145,49,ERR3474616,human,in vivo,extracellular,bulk
PB2,163,2148,78,ERR3474616,human,in vivo,extracellular,bulk
PB2,164,2144,283,ERR3474616,human,in vivo,extracellular,bulk
PB2,164,2195,72,ERR3474616,human,in vivo,extracellular,bulk
PB2,164,2211,44,ERR3474616,human,in vivo,extracellular,bulk
PB2,165,2079,1,ERR3474616,human,in vivo,extracellular,bulk
PB2,165,2145,1,ERR3474616,human,in vivo,extracellular,bulk
PB2,165,2204,43,ERR3474616,human,in vivo,extracellular,bulk
PB2,165,2243,109,ERR3474616,human,in vivo,extracellular,bulk
PB2,167,214,1,ERR3474616,human,in vivo,extracellular,bulk
PB2,167,2149,15,ERR3474616,human,in vivo,extracellular,bulk
PB2,169,1606,1,ERR3474616,human,in vivo,extracellular,bulk
PB2,172,1609,19,ERR3474616,human,in vivo,extracellular,bulk
PB2,174,2143,93,ERR3474616,human,in vivo,extracellular,bulk
PB2,1822,1871,8,ERR3474616,human,in vivo,extracellular,bulk
PB2,188,2035,32,ERR3474616,human,in vivo,extracellular,bulk
PB2,188,2199,36,ERR3474616,human,in vivo,extracellular,bulk
PB2,199,2068,29,ERR3474616,human,in vivo,extracellular,bulk
PB2,201,241,2,ERR3474616,human,in vivo,extracellular,bulk
PB2,202,2207,1,ERR3474616,human,in vivo,extracellular,bulk
PB2,203,2146,64,ERR3474616,human,in vivo,extracellular,bulk
PB2,203,2208,67,ERR3474616,human,in vivo,extracellular,bulk
PB2,203,2262,133,ERR3474616,human,in vivo,extracellular,bulk
PB2,205,2143,2,ERR3474616,human,in vivo,extracellular,bulk
PB2,205,2264,1,ERR3474616,human,in vivo,extracellular,bulk
PB2,213,251,1,ERR3474616,human,in vivo,extracellular,bulk
PB2,2180,2206,13,ERR3474616,human,in vivo,extracellular,bulk
PB2,2180,2208,10,ERR3474616,human,in vivo,extracellular,bulk
PB2,231,2063,62,ERR3474616,human,in vivo,extracellular,bulk
PB2,233,2143,1,ERR3474616,human,in vivo,extracellular,bulk
