index,ID,UMAP1,UMAP2,Cluster,center_x,center_y
0,A_PuertoRico_8_1934_HA_100_1564,10.222695,5.3663225,0,8.571022,4.451144
1,A_PuertoRico_8_1934_HA_103_1507,9.07114,4.6152387,0,8.571022,4.451144
2,A_PuertoRico_8_1934_HA_103_1518,8.980966,4.548362,0,8.571022,4.451144
3,A_PuertoRico_8_1934_HA_103_1581,8.908127,4.55666,0,8.571022,4.451144
4,A_PuertoRico_8_1934_HA_103_1613,9.0543785,4.5787597,0,8.571022,4.451144
5,A_PuertoRico_8_1934_HA_106_1581,8.874358,4.5289454,0,8.571022,4.451144
6,A_PuertoRico_8_1934_HA_108_1546,0.66216975,4.7657137,1,2.5819721,5.142653
7,A_PuertoRico_8_1934_HA_110_1554,4.0752873,6.126939,1,2.5819721,5.142653
8,A_PuertoRico_8_1934_HA_111_1547,8.883962,4.2057285,0,8.571022,4.451144
9,A_PuertoRico_8_1934_HA_113_1504,3.6404483,6.933993,1,2.5819721,5.142653
10,A_PuertoRico_8_1934_HA_114_1570,9.050435,2.5857708,0,8.571022,4.451144
11,A_PuertoRico_8_1934_HA_116_1500,3.9929938,3.555024,1,2.5819721,5.142653
12,A_PuertoRico_8_1934_HA_117_1477,0.39662254,4.869468,1,2.5819721,5.142653
13,A_PuertoRico_8_1934_HA_117_1546,0.7850395,4.7137885,1,2.5819721,5.142653
14,A_PuertoRico_8_1934_HA_117_1565,3.6000612,3.3563662,1,2.5819721,5.142653
15,A_PuertoRico_8_1934_HA_118_1645,5.9887333,5.2752233,0,8.571022,4.451144
16,A_PuertoRico_8_1934_HA_120_1531,8.54657,4.5112734,0,8.571022,4.451144
17,A_PuertoRico_8_1934_HA_123_1491,4.0024085,3.6681705,1,2.5819721,5.142653
18,A_PuertoRico_8_1934_HA_123_1508,4.1145716,3.5672069,1,2.5819721,5.142653
19,A_PuertoRico_8_1934_HA_124_1580,7.8681307,3.9384804,0,8.571022,4.451144
20,A_PuertoRico_8_1934_HA_126_1343,8.821928,4.3356442,0,8.571022,4.451144
21,A_PuertoRico_8_1934_HA_126_1476,8.713572,4.4145565,0,8.571022,4.451144
22,A_PuertoRico_8_1934_HA_126_1498,8.66326,4.304101,0,8.571022,4.451144
23,A_PuertoRico_8_1934_HA_126_1502,8.641341,4.367307,0,8.571022,4.451144
24,A_PuertoRico_8_1934_HA_126_1547,8.800341,4.279132,0,8.571022,4.451144
25,A_PuertoRico_8_1934_HA_126_1560,8.657837,4.3635826,0,8.571022,4.451144
26,A_PuertoRico_8_1934_HA_128_1631,11.235061,6.150979,0,8.571022,4.451144
27,A_PuertoRico_8_1934_HA_129_1469,-0.13383037,5.558262,1,2.5819721,5.142653
28,A_PuertoRico_8_1934_HA_129_1586,-0.049553733,5.7480884,1,2.5819721,5.142653
29,A_PuertoRico_8_1934_HA_130_1460,2.6475031,4.622373,1,2.5819721,5.142653
30,A_PuertoRico_8_1934_HA_132_1525,-0.48995492,5.338161,1,2.5819721,5.142653
31,A_PuertoRico_8_1934_HA_132_180,-0.21581292,4.9346113,1,2.5819721,5.142653
32,A_PuertoRico_8_1934_HA_134_1508,4.1731706,3.593212,1,2.5819721,5.142653
33,A_PuertoRico_8_1934_HA_135_1498,8.6101885,4.3763604,0,8.571022,4.451144
34,A_PuertoRico_8_1934_HA_135_1511,8.739566,4.4440527,0,8.571022,4.451144
35,A_PuertoRico_8_1934_HA_135_1581,8.816069,4.489076,0,8.571022,4.451144
36,A_PuertoRico_8_1934_HA_136_1485,4.1318407,4.5600076,1,2.5819721,5.142653
37,A_PuertoRico_8_1934_HA_136_1529,4.2846975,4.6927457,1,2.5819721,5.142653
38,A_PuertoRico_8_1934_HA_139_1533,3.425255,7.1586256,1,2.5819721,5.142653
39,A_PuertoRico_8_1934_HA_140_1581,8.892827,4.5422544,0,8.571022,4.451144
40,A_PuertoRico_8_1934_HA_1417_1447,8.06872,4.4037867,0,8.571022,4.451144
41,A_PuertoRico_8_1934_HA_141_1512,8.125932,7.204902,0,8.571022,4.451144
42,A_PuertoRico_8_1934_HA_1429_1455,7.3852353,3.636274,0,8.571022,4.451144
43,A_PuertoRico_8_1934_HA_1483_1518,9.116578,4.6481767,0,8.571022,4.451144
44,A_PuertoRico_8_1934_HA_1483_1532,9.897561,5.2063847,0,8.571022,4.451144
45,A_PuertoRico_8_1934_HA_149_1584,4.57549,6.161247,1,2.5819721,5.142653
46,A_PuertoRico_8_1934_HA_1507_1550,3.3579428,4.318501,1,2.5819721,5.142653
47,A_PuertoRico_8_1934_HA_151_1447,8.094148,4.4241076,0,8.571022,4.451144
48,A_PuertoRico_8_1934_HA_151_1496,8.714936,5.442573,0,8.571022,4.451144
49,A_PuertoRico_8_1934_HA_1534_1650,7.224269,2.188075,0,8.571022,4.451144
50,A_PuertoRico_8_1934_HA_153_1450,0.3174418,5.0830765,1,2.5819721,5.142653
51,A_PuertoRico_8_1934_HA_153_1505,0.309906,5.1197157,1,2.5819721,5.142653
52,A_PuertoRico_8_1934_HA_154_1580,2.6887164,4.8492785,1,2.5819721,5.142653
53,A_PuertoRico_8_1934_HA_156_1561,8.702462,4.479336,0,8.571022,4.451144
54,A_PuertoRico_8_1934_HA_158_1345,8.522069,4.373016,0,8.571022,4.451144
55,A_PuertoRico_8_1934_HA_158_1440,8.563184,4.3564577,0,8.571022,4.451144
56,A_PuertoRico_8_1934_HA_158_1498,8.612659,4.363665,0,8.571022,4.451144
57,A_PuertoRico_8_1934_HA_1629_1709,3.0612736,7.090621,1,2.5819721,5.142653
58,A_PuertoRico_8_1934_HA_162_1421,8.829927,4.2575917,0,8.571022,4.451144
59,A_PuertoRico_8_1934_HA_162_1535,8.865963,4.114484,0,8.571022,4.451144
