Segment,Start,End,NGS_read_count,ACC_num,Cells,Time,Replicate,Context,Compartment,Resolution,MOI
PB2,163,2006,57,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB2,224,2138,33,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB2,293,1760,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB1,137,2129,3,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB1,195,2033,16,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB1,1985,2031,2,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB1,269,2054,10,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB1,299,1896,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB1,345,1898,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB1,381,2030,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB1,438,1828,4,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB1,534,1712,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB1,54,77,2,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PA,122,2027,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PA,206,1916,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PA,208,1952,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PA,293,1816,2,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PA,298,1795,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PA,301,1844,26,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PA,352,1916,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PA,462,1813,4,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PA,720,1961,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
HA,126,1470,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
HA,1551,1585,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
HA,184,1459,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
HA,284,1349,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
HA,707,794,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
M,52,741,54,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
NS,57,530,36,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB2,142,2085,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB2,163,2006,63,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB2,182,2144,2,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB2,1935,2029,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB2,217,1976,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB2,224,2138,31,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB2,276,2014,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB2,496,1813,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB1,116,152,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB1,162,2110,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
