Segment,Start,End,NGS_read_count,ACC_num,Resolution,Cells,Context,MOI,Time,Compartment,Replicate
PB1,95,2035,2,SRR10489474,singlecell,MDCK,in vitro,10,12hpi,intracellular,PFU1low_0
PA,352,1908,1,SRR10489474,singlecell,MDCK,in vitro,10,12hpi,intracellular,PFU1low_0
PA,407,1879,1,SRR10489474,singlecell,MDCK,in vitro,10,12hpi,intracellular,PFU1low_0
NS,206,599,1,SRR10489474,singlecell,MDCK,in vitro,10,12hpi,intracellular,PFU1low_0
NS,57,530,1,SRR10489474,singlecell,MDCK,in vitro,10,12hpi,intracellular,PFU1low_0
PA,352,1908,2,SRR10489476,singlecell,MDCK,in vitro,10,12hpi,intracellular,PFU24low_0
M,146,741,1,SRR10489476,singlecell,MDCK,in vitro,10,12hpi,intracellular,PFU24low_0
M,52,741,1,SRR10489476,singlecell,MDCK,in vitro,10,12hpi,intracellular,PFU24low_0
NS,206,599,1,SRR10489476,singlecell,MDCK,in vitro,10,12hpi,intracellular,PFU24low_0
NS,57,530,1,SRR10489476,singlecell,MDCK,in vitro,10,12hpi,intracellular,PFU24low_0
PA,424,1692,1,SRR10489477,singlecell,MDCK,in vitro,10,12hpi,intracellular,PFU11low_0
M,146,741,1,SRR10489477,singlecell,MDCK,in vitro,10,12hpi,intracellular,PFU11low_0
M,52,741,2,SRR10489478,singlecell,MDCK,in vitro,10,12hpi,intracellular,PFU470high_0
NS,206,599,2,SRR10489478,singlecell,MDCK,in vitro,10,12hpi,intracellular,PFU470high_0
NS,57,530,1,SRR10489478,singlecell,MDCK,in vitro,10,12hpi,intracellular,PFU470high_0
PB2,150,2207,2,SRR10489480,singlecell,MDCK,in vitro,10,12hpi,intracellular,PFU23low_0
PA,197,221,1,SRR10489480,singlecell,MDCK,in vitro,10,12hpi,intracellular,PFU23low_0
PA,352,1908,2,SRR10489480,singlecell,MDCK,in vitro,10,12hpi,intracellular,PFU23low_0
M,52,741,1,SRR10489480,singlecell,MDCK,in vitro,10,12hpi,intracellular,PFU23low_0
NS,198,606,1,SRR10489480,singlecell,MDCK,in vitro,10,12hpi,intracellular,PFU23low_0
NS,206,599,2,SRR10489480,singlecell,MDCK,in vitro,10,12hpi,intracellular,PFU23low_0
NS,57,530,1,SRR10489480,singlecell,MDCK,in vitro,10,12hpi,intracellular,PFU23low_0
M,146,741,1,SRR10489481,singlecell,MDCK,in vitro,10,12hpi,intracellular,PFU430high_0
M,52,741,2,SRR10489481,singlecell,MDCK,in vitro,10,12hpi,intracellular,PFU430high_0
NS,109,530,1,SRR10489481,singlecell,MDCK,in vitro,10,12hpi,intracellular,PFU430high_0
NS,57,530,1,SRR10489481,singlecell,MDCK,in vitro,10,12hpi,intracellular,PFU430high_0
PA,352,1908,2,SRR10489483,singlecell,MDCK,in vitro,10,12hpi,intracellular,PFU670high_0
M,52,741,2,SRR10489483,singlecell,MDCK,in vitro,10,12hpi,intracellular,PFU670high_0
NS,206,599,1,SRR10489483,singlecell,MDCK,in vitro,10,12hpi,intracellular,PFU670high_0
NS,57,530,1,SRR10489483,singlecell,MDCK,in vitro,10,12hpi,intracellular,PFU670high_0
M,52,741,1,SRR10489486,singlecell,MDCK,in vitro,10,12hpi,intracellular,PFU680high_0
M,52,741,1,SRR10489492,singlecell,MDCK,in vitro,10,12hpi,intracellular,PFU650high_0
NS,57,530,2,SRR10489492,singlecell,MDCK,in vitro,10,12hpi,intracellular,PFU650high_0
PB1,1486,2130,1,SRR10489495,singlecell,MDCK,in vitro,10,12hpi,intracellular,PFU18low_0
PA,352,1908,2,SRR10489495,singlecell,MDCK,in vitro,10,12hpi,intracellular,PFU18low_0
M,52,741,1,SRR10489495,singlecell,MDCK,in vitro,10,12hpi,intracellular,PFU18low_0
PA,352,1908,1,SRR10489500,singlecell,MDCK,in vitro,10,12hpi,intracellular,PFU900high_0
PA,352,1908,1,SRR10489501,singlecell,MDCK,in vitro,10,12hpi,intracellular,PFU3low_0
PA,352,1908,1,SRR10489503,singlecell,MDCK,in vitro,10,12hpi,intracellular,PFU470high_1
M,52,741,1,SRR10489503,singlecell,MDCK,in vitro,10,12hpi,intracellular,PFU470high_1
M,52,741,1,SRR10489504,singlecell,MDCK,in vitro,10,12hpi,intracellular,PFU1100high_0
NS,57,530,1,SRR10489504,singlecell,MDCK,in vitro,10,12hpi,intracellular,PFU1100high_0
NS,57,530,1,SRR10489505,singlecell,MDCK,in vitro,10,12hpi,intracellular,PFU360high_0
M,52,741,1,SRR10489507,singlecell,MDCK,in vitro,10,12hpi,intracellular,PFU690high_0
NS,57,530,1,SRR10489507,singlecell,MDCK,in vitro,10,12hpi,intracellular,PFU690high_0
PB1,187,2043,1,SRR10489508,singlecell,MDCK,in vitro,10,12hpi,intracellular,PFU490high_0
M,146,741,1,SRR10489508,singlecell,MDCK,in vitro,10,12hpi,intracellular,PFU490high_0
M,52,741,1,SRR10489509,singlecell,MDCK,in vitro,10,12hpi,intracellular,PFU580high_0
PA,485,621,1,SRR10489510,singlecell,MDCK,in vitro,10,12hpi,intracellular,PFU400high_0
M,52,741,1,SRR10489510,singlecell,MDCK,in vitro,10,12hpi,intracellular,PFU400high_0
PB1,170,2110,2,SRR10489512,singlecell,MDCK,in vitro,10,12hpi,intracellular,PFU16low_0
M,52,741,1,SRR10489512,singlecell,MDCK,in vitro,10,12hpi,intracellular,PFU16low_0
M,52,741,1,SRR10489515,singlecell,MDCK,in vitro,10,12hpi,intracellular,PFU360high_3
NS,206,599,1,SRR10489515,singlecell,MDCK,in vitro,10,12hpi,intracellular,PFU360high_3
