Segment,Start,End,NGS_read_count,ACC_num,Context,Compartment,Resolution,Replicate
PB1,100,223,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,102,330,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,1036,2109,2,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,108,1939,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,109,142,376,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,110,2185,47,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,119,2262,6,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,129,2158,7,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,1359,2042,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,136,345,2,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,142,223,2,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,145,305,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,1469,1934,2,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,1511,1686,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,153,515,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,1548,2033,2,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,1566,2235,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,159,942,2,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,165,910,2,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,1803,2165,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,1837,1939,2,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,1837,2162,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,185,2059,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,1875,2061,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,1943,2001,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,2011,2042,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,2041,2122,2,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,2127,2186,89,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,2128,2186,2,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,2128,2187,27,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,2131,2190,9488,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,2132,2191,5,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,2137,2191,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,2189,2213,2,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,233,282,2,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,234,1917,2,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,236,1850,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,240,2171,234,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,242,375,2,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,266,1944,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,278,1834,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,280,1836,559,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,280,2207,4,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,286,2123,10,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,290,2005,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,294,410,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,297,319,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,305,1776,34,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,305,2017,70,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,308,2020,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,310,2002,2,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,310,2195,2,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,311,2118,2,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,322,2075,2,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,323,1946,51,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,334,1975,9,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,334,2028,6,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,337,1934,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,337,1977,2,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,337,1978,14616,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,337,1979,4,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,337,2051,9,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,337,426,2,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,338,1979,36,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,345,1915,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,346,1916,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,349,1984,23,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,357,2019,2,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,366,1944,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,368,1978,470,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,375,1939,90,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,378,1940,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,383,1818,180,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,385,1918,3,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,387,1920,1458,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,388,2045,88,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,398,683,2,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,404,2168,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,417,2014,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,419,1923,17,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,420,1808,346,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,420,1817,3,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,420,2041,114,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,424,1902,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,424,949,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,425,1997,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,427,1905,20,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,428,1214,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,435,1863,164,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,435,982,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,438,1628,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,440,1271,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,441,2002,95,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,452,2046,2,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,454,1989,4,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,455,1990,427,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,457,1992,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,460,1123,2,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,461,1920,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,462,1619,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,462,1775,230,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,463,1776,5,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,491,1916,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,492,1869,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,497,1905,2,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,504,1885,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,505,1740,12,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,506,1821,44,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,507,1735,2,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,509,1744,6472,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,509,1776,4,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,509,1890,41,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,509,2207,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,510,1745,8,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,510,1901,45,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,529,1729,64,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,529,1840,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,52,1676,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,530,1432,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,530,1587,66,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,530,1760,90,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,531,1780,2,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,535,1782,4,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,535,2041,2,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,538,1834,190,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,538,2237,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,539,1835,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,541,1589,47,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,542,1768,155,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,577,1779,4,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,579,1737,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,580,1769,7,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,582,1811,128,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,582,1815,72,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,585,1750,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,585,1934,2,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,586,1756,95,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,588,1775,2,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,588,2031,2,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,593,1768,105,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,597,1746,2,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,597,1776,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,598,1738,69,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,59,504,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,610,1743,1,SRR15183338,in vivo,extracellular,bulk,1-1
