Segment,Start,End,NGS_read_count,ACC_num,IFNAR,IFNLR,Cells,Replicate,Resolution,Context,Compartment
PB2,1012,1176,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,1012,1383,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,1018,1483,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,109,131,53,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,109,164,6,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,1102,1146,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,110,2029,5,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,112,2142,55,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,113,2137,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,1145,1233,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,114,2144,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,115,2132,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,117,2139,292,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,118,2153,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,119,2070,225,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,119,2129,2,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,119,2161,9,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,120,1675,2,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,120,2071,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,121,2114,16,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,122,2004,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,1243,1281,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,127,2044,2,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,128,164,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,128,1997,4,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,128,2139,17,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,128,2195,7,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,130,2135,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,131,2110,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,132,2077,2,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,132,2133,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,133,2138,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,135,2053,89,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,135,2139,968,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,135,2159,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,137,2141,10,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,142,2120,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,143,2132,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,143,2139,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,143,2159,4,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,144,2114,37,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,1480,1561,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,150,2206,3,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,151,1916,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,152,210,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,152,252,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,156,1997,9,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,157,2045,3,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,159,2139,4,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,159,2152,129,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,161,2104,6,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,161,2151,5,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,162,186,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,162,2097,2,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
