Segment,Start,End,NGS_read_count,ACC_num,Cells,Context,Compartment,Resolution
M,125,1013,2,SRR10013092,human,in vivo,extracellular,bulk
NA,1372,1454,2,SRR10013092,human,in vivo,extracellular,bulk
NA,262,368,1,SRR10013092,human,in vivo,extracellular,bulk
NA,344,477,5,SRR10013092,human,in vivo,extracellular,bulk
NA,344,956,1,SRR10013092,human,in vivo,extracellular,bulk
NA,472,650,7,SRR10013092,human,in vivo,extracellular,bulk
NA,560,1310,1,SRR10013092,human,in vivo,extracellular,bulk
NA,572,1299,1,SRR10013092,human,in vivo,extracellular,bulk
NA,622,881,1,SRR10013092,human,in vivo,extracellular,bulk
NA,973,1277,1,SRR10013092,human,in vivo,extracellular,bulk
NP,499,1208,1,SRR10013092,human,in vivo,extracellular,bulk
NP,832,1571,3,SRR10013092,human,in vivo,extracellular,bulk
NP,854,1462,2,SRR10013092,human,in vivo,extracellular,bulk
NP,90,1257,2,SRR10013092,human,in vivo,extracellular,bulk
NS,431,873,1,SRR10013092,human,in vivo,extracellular,bulk
PA,1118,1157,2,SRR10013092,human,in vivo,extracellular,bulk
PA,1201,1246,1,SRR10013092,human,in vivo,extracellular,bulk
PA,1396,1889,1,SRR10013092,human,in vivo,extracellular,bulk
PA,183,745,1,SRR10013092,human,in vivo,extracellular,bulk
PA,200,1911,1,SRR10013092,human,in vivo,extracellular,bulk
PA,203,444,1,SRR10013092,human,in vivo,extracellular,bulk
PA,529,915,1,SRR10013092,human,in vivo,extracellular,bulk
PA,556,1634,5,SRR10013092,human,in vivo,extracellular,bulk
PA,609,2149,1,SRR10013092,human,in vivo,extracellular,bulk
PB1,1103,2088,1,SRR10013092,human,in vivo,extracellular,bulk
PB1,1167,1831,3,SRR10013092,human,in vivo,extracellular,bulk
PB1,1253,1673,1,SRR10013092,human,in vivo,extracellular,bulk
PB1,290,2175,5,SRR10013092,human,in vivo,extracellular,bulk
PB1,326,2162,27,SRR10013092,human,in vivo,extracellular,bulk
PB1,403,1785,3,SRR10013092,human,in vivo,extracellular,bulk
PB1,460,1423,1,SRR10013092,human,in vivo,extracellular,bulk
PB1,557,1871,1,SRR10013092,human,in vivo,extracellular,bulk
PB2,225,554,1,SRR10013092,human,in vivo,extracellular,bulk
PB2,516,960,1,SRR10013092,human,in vivo,extracellular,bulk
PB2,592,845,1,SRR10013092,human,in vivo,extracellular,bulk
PB2,726,2046,1,SRR10013092,human,in vivo,extracellular,bulk
PB2,867,1931,1,SRR10013092,human,in vivo,extracellular,bulk
HA,1108,1290,1,SRR10013237,human,in vivo,extracellular,bulk
HA,202,1130,1,SRR10013237,human,in vivo,extracellular,bulk
HA,817,1120,1,SRR10013237,human,in vivo,extracellular,bulk
HA,993,1058,1,SRR10013237,human,in vivo,extracellular,bulk
M,138,448,1,SRR10013237,human,in vivo,extracellular,bulk
M,183,904,2,SRR10013237,human,in vivo,extracellular,bulk
M,254,797,1,SRR10013237,human,in vivo,extracellular,bulk
M,301,611,1,SRR10013237,human,in vivo,extracellular,bulk
M,301,949,1,SRR10013237,human,in vivo,extracellular,bulk
M,314,591,1,SRR10013237,human,in vivo,extracellular,bulk
M,315,591,1,SRR10013237,human,in vivo,extracellular,bulk
M,326,378,1,SRR10013237,human,in vivo,extracellular,bulk
M,327,641,1,SRR10013237,human,in vivo,extracellular,bulk
M,329,823,1,SRR10013237,human,in vivo,extracellular,bulk
M,369,587,1,SRR10013237,human,in vivo,extracellular,bulk
M,36,522,1,SRR10013237,human,in vivo,extracellular,bulk
M,414,540,1,SRR10013237,human,in vivo,extracellular,bulk
M,470,540,1,SRR10013237,human,in vivo,extracellular,bulk
M,516,733,1,SRR10013237,human,in vivo,extracellular,bulk
M,61,547,1,SRR10013237,human,in vivo,extracellular,bulk
M,678,828,1,SRR10013237,human,in vivo,extracellular,bulk
