Segment,Start,End,NGS_read_count,ACC_num,Cells,Time,Replicate,Context,Compartment,Resolution
PB2,1014,1589,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB2,102,2025,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB2,1040,1277,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB2,1056,1424,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB2,1078,1155,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB2,1114,1143,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB2,1203,1234,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB2,131,2146,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB2,145,2142,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB2,1486,1636,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB2,148,2107,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB2,150,2121,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB2,150,261,2,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB2,157,2045,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB2,162,2125,10,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB2,163,2126,2,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB2,169,192,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB2,1705,2179,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB2,1706,1776,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB2,1716,2147,7,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB2,174,2142,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB2,176,2052,6,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB2,177,2141,2,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB2,180,2027,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB2,180,2162,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB2,181,2106,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB2,1884,1936,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB2,190,1990,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB2,190,2085,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB2,1936,2025,2,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB2,1978,2002,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB2,199,2171,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB2,2002,2037,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB2,2002,2054,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB2,2023,2083,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB2,203,2043,2,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB2,2115,2262,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB2,217,2099,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB2,225,1950,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB2,225,2072,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB2,225,2200,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB2,226,2020,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB2,242,2234,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB2,257,1947,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB2,272,2054,6,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB2,274,1973,2,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB2,274,2045,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB2,275,2004,5,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB2,277,1403,5,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB2,278,2178,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
