Segment,Start,End,NGS_read_count,ACC_num,Cells,Context,Compartment,Resolution
PB2,1245,1395,1,180628A_rec_A-P1p_S218,MDCK,in vitro,extracellular,bulk
PB2,1725,1991,1,180628A_rec_A-P1p_S218,MDCK,in vitro,extracellular,bulk
PB2,207,2097,2,180628A_rec_A-P1p_S218,MDCK,in vitro,extracellular,bulk
PB1,1271,1340,1,180628A_rec_A-P1p_S218,MDCK,in vitro,extracellular,bulk
PB1,1709,1770,1,180628A_rec_A-P1p_S218,MDCK,in vitro,extracellular,bulk
PB1,2053,2082,1,180628A_rec_A-P1p_S218,MDCK,in vitro,extracellular,bulk
PB1,425,1450,1,180628A_rec_A-P1p_S218,MDCK,in vitro,extracellular,bulk
PA,570,1976,1,180628A_rec_A-P1p_S218,MDCK,in vitro,extracellular,bulk
HA,1295,1339,1,180628A_rec_A-P1p_S218,MDCK,in vitro,extracellular,bulk
HA,1323,1471,1,180628A_rec_A-P1p_S218,MDCK,in vitro,extracellular,bulk
NP,327,362,1,180628A_rec_A-P1p_S218,MDCK,in vitro,extracellular,bulk
NP,681,892,1,180628A_rec_A-P1p_S218,MDCK,in vitro,extracellular,bulk
NS,392,430,1,180628A_rec_A-P1p_S218,MDCK,in vitro,extracellular,bulk
PB2,1952,1976,1,180628A_rec_B-P1p_S219,MDCK,in vitro,extracellular,bulk
PB1,625,1878,18,180628A_rec_B-P1p_S219,MDCK,in vitro,extracellular,bulk
PB2,1064,1182,1,180628A_rec_C-P1p_S219,MDCK,in vitro,extracellular,bulk
PB2,1099,2141,1,180628A_rec_C-P1p_S219,MDCK,in vitro,extracellular,bulk
PB2,1104,1193,1,180628A_rec_C-P1p_S219,MDCK,in vitro,extracellular,bulk
PB2,1104,1198,1,180628A_rec_C-P1p_S219,MDCK,in vitro,extracellular,bulk
PB2,1131,1195,1,180628A_rec_C-P1p_S219,MDCK,in vitro,extracellular,bulk
PB2,1135,1603,2,180628A_rec_C-P1p_S219,MDCK,in vitro,extracellular,bulk
