Segment,Start,End,NGS_read_count,ACC_num,Replicate,Cells,Time,Context,Compartment,Resolution,MOI
PB2,101,2090,1,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,101,2138,1,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,101,2157,5,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,101,2194,1,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,1024,1967,2,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,1028,2008,2,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,1039,1692,2,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,103,2073,1,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,103,2222,1,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,1053,1556,2,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,105,2133,1,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,106,2099,4,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,107,2135,11,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,1086,2191,1,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,108,2115,3,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,109,2152,1,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,110,2099,1,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,110,2117,1,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,110,2152,8,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,1127,1192,2,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,112,2142,9,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
