ID,Best Cluster
A_PuertoRico_8_1934_HA_103_1447,16
A_PuertoRico_8_1934_HA_104_128,-1
A_PuertoRico_8_1934_HA_106_1487,6
A_PuertoRico_8_1934_HA_1240_1503,13
A_PuertoRico_8_1934_HA_126_1470,13
A_PuertoRico_8_1934_HA_126_1498,12
A_PuertoRico_8_1934_HA_126_1532,16
A_PuertoRico_8_1934_HA_126_1547,15
A_PuertoRico_8_1934_HA_1323_1471,13
A_PuertoRico_8_1934_HA_135_1532,6
A_PuertoRico_8_1934_HA_141_1485,6
A_PuertoRico_8_1934_HA_1531_1560,-1
A_PuertoRico_8_1934_HA_175_1429,6
A_PuertoRico_8_1934_HA_206_1428,-1
A_PuertoRico_8_1934_HA_206_1440,16
A_PuertoRico_8_1934_HA_206_1447,5
A_PuertoRico_8_1934_HA_206_1484,15
A_PuertoRico_8_1934_HA_210_1440,6
A_PuertoRico_8_1934_HA_215_1484,16
A_PuertoRico_8_1934_HA_216_1448,-1
A_PuertoRico_8_1934_HA_233_1428,6
A_PuertoRico_8_1934_HA_274_1576,6
A_PuertoRico_8_1934_HA_283_1375,12
A_PuertoRico_8_1934_HA_316_1447,12
A_PuertoRico_8_1934_HA_37_1377,16
A_PuertoRico_8_1934_HA_390_500,6
A_PuertoRico_8_1934_HA_48_1485,6
A_PuertoRico_8_1934_HA_91_1449,16
A_PuertoRico_8_1934_HA_92_1447,12
A_PuertoRico_8_1934_HA_92_1484,6
A_PuertoRico_8_1934_HA_94_1534,4
A_PuertoRico_8_1934_HA_96_1484,6
A_PuertoRico_8_1934_HA_97_1533,6
A_PuertoRico_8_1934_HA_97_1548,15
A_PuertoRico_8_1934_M_121_853,6
A_PuertoRico_8_1934_M_126_741,16
A_PuertoRico_8_1934_M_302_667,-1
A_PuertoRico_8_1934_M_365_924,16
A_PuertoRico_8_1934_M_52_741,13
A_PuertoRico_8_1934_M_887_911,13
A_PuertoRico_8_1934_NA_187_1108,8
A_PuertoRico_8_1934_NA_190_1109,16
A_PuertoRico_8_1934_NA_198_292,6
A_PuertoRico_8_1934_NA_209_838,6
A_PuertoRico_8_1934_NA_210_1018,6
A_PuertoRico_8_1934_NA_574_613,12
A_PuertoRico_8_1934_NA_707_1170,6
A_PuertoRico_8_1934_NP_109_479,6
A_PuertoRico_8_1934_NP_1192_1295,6
A_PuertoRico_8_1934_NP_1220_1409,6
A_PuertoRico_8_1934_NP_1269_1322,16
A_PuertoRico_8_1934_NP_164_1322,13
A_PuertoRico_8_1934_NP_164_1364,6
A_PuertoRico_8_1934_NP_164_1381,6
A_PuertoRico_8_1934_NP_165_1278,6
A_PuertoRico_8_1934_NP_166_1345,6
A_PuertoRico_8_1934_NP_223_1277,-1
A_PuertoRico_8_1934_NP_223_1288,6
A_PuertoRico_8_1934_NP_228_1277,13
A_PuertoRico_8_1934_NP_234_1277,14
A_PuertoRico_8_1934_NP_253_544,6
A_PuertoRico_8_1934_NP_274_1200,-1
A_PuertoRico_8_1934_NP_274_1277,6
A_PuertoRico_8_1934_NP_296_531,6
A_PuertoRico_8_1934_NP_425_617,6
A_PuertoRico_8_1934_NP_764_1392,6
A_PuertoRico_8_1934_NP_90_1165,6
A_PuertoRico_8_1934_NS_57_530,13
A_PuertoRico_8_1934_PA_120_143,1
A_PuertoRico_8_1934_PA_120_157,10
A_PuertoRico_8_1934_PA_120_1886,13
A_PuertoRico_8_1934_PA_120_1922,12
A_PuertoRico_8_1934_PA_120_1974,10
A_PuertoRico_8_1934_PA_120_1990,10
A_PuertoRico_8_1934_PA_120_2027,2
A_PuertoRico_8_1934_PA_121_2074,14
A_PuertoRico_8_1934_PA_122_1990,10
A_PuertoRico_8_1934_PA_123_148,12
A_PuertoRico_8_1934_PA_123_181,14
A_PuertoRico_8_1934_PA_123_2074,12
A_PuertoRico_8_1934_PA_124_147,10
A_PuertoRico_8_1934_PA_124_168,-1
A_PuertoRico_8_1934_PA_124_1984,15
A_PuertoRico_8_1934_PA_124_1990,10
A_PuertoRico_8_1934_PA_124_2027,7
A_PuertoRico_8_1934_PA_129_1959,16
A_PuertoRico_8_1934_PA_130_1972,8
A_PuertoRico_8_1934_PA_130_2075,3
A_PuertoRico_8_1934_PA_132_1978,11
A_PuertoRico_8_1934_PA_134_2004,15
A_PuertoRico_8_1934_PA_135_1974,10
A_PuertoRico_8_1934_PA_135_1990,3
A_PuertoRico_8_1934_PA_135_2027,8
A_PuertoRico_8_1934_PA_135_2063,11
A_PuertoRico_8_1934_PA_136_1987,0
A_PuertoRico_8_1934_PA_137_165,-1
A_PuertoRico_8_1934_PA_137_1956,7
A_PuertoRico_8_1934_PA_137_1975,9
A_PuertoRico_8_1934_PA_137_2068,1
A_PuertoRico_8_1934_PA_137_2074,10
A_PuertoRico_8_1934_PA_138_172,5
