ID,Best Cluster
B_Yamagata_16_1988_HA_71_105,7
B_Yamagata_16_1988_M_134_700,7
B_Yamagata_16_1988_M_202_1060,1
B_Yamagata_16_1988_M_662_1016,3
B_Yamagata_16_1988_M_83_696,3
B_Yamagata_16_1988_NA_422_977,-1
B_Yamagata_16_1988_NA_739_926,7
B_Yamagata_16_1988_NP_131_1407,7
B_Yamagata_16_1988_NP_1381_1461,1
B_Yamagata_16_1988_NS_179_855,7
B_Yamagata_16_1988_PA_1118_1195,1
B_Yamagata_16_1988_PA_2056_2117,7
B_Yamagata_16_1988_PA_225_2092,4
B_Yamagata_16_1988_PA_229_2041,7
B_Yamagata_16_1988_PA_259_1929,1
B_Yamagata_16_1988_PA_278_2076,-1
B_Yamagata_16_1988_PA_314_1905,2
B_Yamagata_16_1988_PA_314_1945,5
B_Yamagata_16_1988_PA_326_1901,4
B_Yamagata_16_1988_PA_326_1904,-1
B_Yamagata_16_1988_PA_328_1450,7
B_Yamagata_16_1988_PA_399_1858,-1
B_Yamagata_16_1988_PA_399_1906,-1
B_Yamagata_16_1988_PA_403_1780,7
B_Yamagata_16_1988_PA_407_2165,7
B_Yamagata_16_1988_PA_413_1860,-1
B_Yamagata_16_1988_PA_421_1857,1
B_Yamagata_16_1988_PA_432_1923,7
B_Yamagata_16_1988_PA_449_1828,-1
B_Yamagata_16_1988_PA_452_1826,-1
B_Yamagata_16_1988_PA_457_1860,2
B_Yamagata_16_1988_PA_463_1857,4
B_Yamagata_16_1988_PA_477_1763,1
B_Yamagata_16_1988_PA_478_1857,4
B_Yamagata_16_1988_PA_480_1852,3
B_Yamagata_16_1988_PA_481_1815,7
B_Yamagata_16_1988_PA_485_1771,-1
B_Yamagata_16_1988_PA_488_1824,5
B_Yamagata_16_1988_PA_489_1826,5
B_Yamagata_16_1988_PA_489_1837,5
B_Yamagata_16_1988_PA_490_1823,5
B_Yamagata_16_1988_PA_496_1773,7
B_Yamagata_16_1988_PA_496_1826,6
B_Yamagata_16_1988_PA_497_1823,7
B_Yamagata_16_1988_PA_503_1811,1
B_Yamagata_16_1988_PA_505_1079,-1
B_Yamagata_16_1988_PA_514_1719,1
B_Yamagata_16_1988_PA_514_1811,-1
B_Yamagata_16_1988_PA_514_1856,1
B_Yamagata_16_1988_PA_518_1719,4
B_Yamagata_16_1988_PA_529_628,7
B_Yamagata_16_1988_PA_530_1681,-1
B_Yamagata_16_1988_PA_530_1899,4
B_Yamagata_16_1988_PA_533_1706,4
B_Yamagata_16_1988_PA_541_1781,1
B_Yamagata_16_1988_PA_547_1772,6
B_Yamagata_16_1988_PA_602_1720,3
B_Yamagata_16_1988_PA_638_1536,3
B_Yamagata_16_1988_PA_654_1638,5
B_Yamagata_16_1988_PA_67_92,7
B_Yamagata_16_1988_PA_707_1687,-1
B_Yamagata_16_1988_PA_778_1491,-1
B_Yamagata_16_1988_PB1_132_2183,6
B_Yamagata_16_1988_PB1_156_2057,3
B_Yamagata_16_1988_PB1_233_2192,4
B_Yamagata_16_1988_PB1_242_2163,6
B_Yamagata_16_1988_PB1_288_2094,0
B_Yamagata_16_1988_PB1_290_2005,5
B_Yamagata_16_1988_PB1_291_2019,7
B_Yamagata_16_1988_PB1_299_2005,5
B_Yamagata_16_1988_PB1_300_2015,6
B_Yamagata_16_1988_PB1_301_2020,2
B_Yamagata_16_1988_PB1_303_2018,6
B_Yamagata_16_1988_PB1_306_1999,5
B_Yamagata_16_1988_PB1_306_2051,7
B_Yamagata_16_1988_PB1_308_2018,7
B_Yamagata_16_1988_PB1_309_2004,4
B_Yamagata_16_1988_PB1_310_1994,0
B_Yamagata_16_1988_PB1_310_1999,5
B_Yamagata_16_1988_PB1_310_2003,2
B_Yamagata_16_1988_PB1_310_2195,3
B_Yamagata_16_1988_PB1_311_2027,6
B_Yamagata_16_1988_PB1_311_2057,2
B_Yamagata_16_1988_PB1_311_2066,2
B_Yamagata_16_1988_PB1_327_2003,-1
B_Yamagata_16_1988_PB1_330_2118,7
B_Yamagata_16_1988_PB1_353_2089,3
B_Yamagata_16_1988_PB1_357_2019,5
B_Yamagata_16_1988_PB1_358_1710,7
B_Yamagata_16_1988_PB1_361_2198,3
B_Yamagata_16_1988_PB1_366_1935,5
B_Yamagata_16_1988_PB1_370_1937,4
B_Yamagata_16_1988_PB1_372_1934,-1
B_Yamagata_16_1988_PB1_375_1936,5
B_Yamagata_16_1988_PB1_375_1941,5
B_Yamagata_16_1988_PB1_375_1943,-1
B_Yamagata_16_1988_PB1_377_1934,2
B_Yamagata_16_1988_PB1_377_1935,3
B_Yamagata_16_1988_PB1_379_1934,1
B_Yamagata_16_1988_PB1_380_1944,4
B_Yamagata_16_1988_PB1_384_1942,2
B_Yamagata_16_1988_PB1_386_1934,4
B_Yamagata_16_1988_PB1_387_1920,1
B_Yamagata_16_1988_PB1_399_1902,4
B_Yamagata_16_1988_PB1_402_1008,7
B_Yamagata_16_1988_PB1_404_1919,-1
B_Yamagata_16_1988_PB1_425_1997,7
B_Yamagata_16_1988_PB1_443_1647,3
B_Yamagata_16_1988_PB1_451_1933,3
B_Yamagata_16_1988_PB1_451_1945,1
B_Yamagata_16_1988_PB1_452_1771,3
B_Yamagata_16_1988_PB1_460_1941,7
B_Yamagata_16_1988_PB1_461_1780,7
B_Yamagata_16_1988_PB1_463_1770,-1
B_Yamagata_16_1988_PB1_500_1903,7
B_Yamagata_16_1988_PB1_505_1738,3
B_Yamagata_16_1988_PB1_509_1744,1
B_Yamagata_16_1988_PB1_509_1890,1
B_Yamagata_16_1988_PB1_510_1738,5
B_Yamagata_16_1988_PB1_514_1832,5
B_Yamagata_16_1988_PB1_517_1900,4
B_Yamagata_16_1988_PB1_521_1738,7
B_Yamagata_16_1988_PB1_529_1769,7
B_Yamagata_16_1988_PB1_529_1815,5
B_Yamagata_16_1988_PB1_52_1676,1
B_Yamagata_16_1988_PB1_535_1781,2
B_Yamagata_16_1988_PB1_542_1768,1
B_Yamagata_16_1988_PB1_542_1776,5
B_Yamagata_16_1988_PB1_542_1778,-1
B_Yamagata_16_1988_PB1_542_1845,3
B_Yamagata_16_1988_PB1_542_1856,5
B_Yamagata_16_1988_PB1_542_1863,3
B_Yamagata_16_1988_PB1_579_1737,7
B_Yamagata_16_1988_PB1_585_1750,1
B_Yamagata_16_1988_PB1_585_1772,0
B_Yamagata_16_1988_PB1_589_1764,0
B_Yamagata_16_1988_PB1_594_1799,7
B_Yamagata_16_1988_PB1_597_1746,-1
B_Yamagata_16_1988_PB1_597_1776,1
B_Yamagata_16_1988_PB1_598_1738,1
B_Yamagata_16_1988_PB1_615_1783,-1
B_Yamagata_16_1988_PB1_623_1757,1
B_Yamagata_16_1988_PB1_624_1756,-1
B_Yamagata_16_1988_PB1_627_1750,1
B_Yamagata_16_1988_PB1_627_1772,1
B_Yamagata_16_1988_PB1_632_1737,4
B_Yamagata_16_1988_PB1_633_1745,4
B_Yamagata_16_1988_PB1_633_1747,4
B_Yamagata_16_1988_PB1_633_1756,7
B_Yamagata_16_1988_PB1_633_1903,7
B_Yamagata_16_1988_PB1_638_1738,1
B_Yamagata_16_1988_PB1_638_1744,1
B_Yamagata_16_1988_PB1_638_1746,5
B_Yamagata_16_1988_PB1_638_1755,4
B_Yamagata_16_1988_PB1_639_1737,1
B_Yamagata_16_1988_PB1_641_1933,7
B_Yamagata_16_1988_PB1_642_1741,5
B_Yamagata_16_1988_PB1_644_1722,7
B_Yamagata_16_1988_PB1_644_1727,-1
B_Yamagata_16_1988_PB1_644_1737,1
B_Yamagata_16_1988_PB1_645_1745,3
B_Yamagata_16_1988_PB1_645_1756,7
B_Yamagata_16_1988_PB1_647_1749,1
B_Yamagata_16_1988_PB1_648_1732,3
B_Yamagata_16_1988_PB1_648_1742,-1
B_Yamagata_16_1988_PB1_649_1737,-1
B_Yamagata_16_1988_PB1_650_1735,1
B_Yamagata_16_1988_PB1_693_1594,4
B_Yamagata_16_1988_PB1_693_1695,4
B_Yamagata_16_1988_PB1_697_1594,0
B_Yamagata_16_1988_PB1_703_1586,7
B_Yamagata_16_1988_PB1_703_1680,7
B_Yamagata_16_1988_PB1_716_1573,4
B_Yamagata_16_1988_PB1_717_1576,7
B_Yamagata_16_1988_PB1_719_1574,5
B_Yamagata_16_1988_PB1_720_1574,4
B_Yamagata_16_1988_PB1_722_1574,1
B_Yamagata_16_1988_PB1_728_1555,-1
B_Yamagata_16_1988_PB1_728_1556,7
B_Yamagata_16_1988_PB1_728_1561,1
B_Yamagata_16_1988_PB1_728_1737,-1
B_Yamagata_16_1988_PB1_729_1558,3
B_Yamagata_16_1988_PB1_731_1572,1
B_Yamagata_16_1988_PB1_731_1749,6
B_Yamagata_16_1988_PB1_732_1905,7
B_Yamagata_16_1988_PB1_758_1711,3
B_Yamagata_16_1988_PB1_759_1575,7
B_Yamagata_16_1988_PB1_767_1516,3
B_Yamagata_16_1988_PB1_767_1517,-1
B_Yamagata_16_1988_PB1_769_1512,1
B_Yamagata_16_1988_PB1_770_2059,1
B_Yamagata_16_1988_PB1_771_1535,4
B_Yamagata_16_1988_PB1_775_1867,3
B_Yamagata_16_1988_PB1_776_1503,3
B_Yamagata_16_1988_PB1_777_1511,7
B_Yamagata_16_1988_PB1_777_1525,4
B_Yamagata_16_1988_PB1_794_1495,1
B_Yamagata_16_1988_PB1_794_1605,7
B_Yamagata_16_1988_PB1_795_1535,3
B_Yamagata_16_1988_PB1_796_1541,1
B_Yamagata_16_1988_PB1_798_1516,6
B_Yamagata_16_1988_PB1_798_1517,-1
B_Yamagata_16_1988_PB1_798_1522,-1
B_Yamagata_16_1988_PB1_798_1534,-1
B_Yamagata_16_1988_PB1_798_1539,7
B_Yamagata_16_1988_PB1_798_1587,3
B_Yamagata_16_1988_PB1_799_1496,1
B_Yamagata_16_1988_PB1_799_1509,1
B_Yamagata_16_1988_PB1_799_1511,7
B_Yamagata_16_1988_PB1_799_1586,7
B_Yamagata_16_1988_PB1_799_1594,0
B_Yamagata_16_1988_PB1_800_1499,7
B_Yamagata_16_1988_PB1_800_1611,1
B_Yamagata_16_1988_PB1_800_1626,1
