Segment,Start,End,NGS_read_count,ACC_num,Replicate,Cells,Context,Compartment,Resolution,Time
HA,1002,1604,2,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,1021,1603,2,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,1075,1132,1,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,1087,1353,1,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,1088,1602,2,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,109,1543,2,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,110,1574,4,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,1113,1303,1,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,1116,1706,1,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,1118,1309,5,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,1120,1145,1,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,1120,1397,1,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,1125,1608,2,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,1127,1605,3,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,1129,1357,1,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,1135,1601,5,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,1164,1227,1,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,1168,1588,4,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,1176,1212,4,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,1180,1521,1,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,1191,1272,2,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,1208,1467,1,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,1233,1606,2,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,1254,1517,1,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,1263,1453,2,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,1265,1565,2,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,126,1186,1,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,1271,1523,1,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,1273,1530,3,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,1278,1533,4,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,128,1435,2,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,1290,1513,2,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,1329,1581,1,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,1337,1719,2,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,1344,1704,9,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,1352,1402,3,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,1394,1536,2,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,1397,1545,1,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
